ko,en
안녕하세요,hello
사람,person
집,house
학교,school
차,car
물,water
시간,time
하늘,sky
얼음,ice
강아지,puppy
고양이,cat
책,book
컴퓨터,computer
핸드폰,cellphone
가방,bag
열쇠,key
펜,pen
종이,paper
의자,chair
테이블,table
음악,music
노래,song
영화,movie
친구,friend
가족,family
사랑,love
행복,happiness
슬픔,sadness
기쁨,joy
웃음,laughter
눈물,tear
꿈,dream
생각,thought
말,word
일,work
돈,money
시장,market
의사,doctor
병원,hospital
음식,food
요리,cooking
맛,taste
바다,sea
산,mountain
강,river
나무,tree
꽃,flower
새,bird
고기,meat
생선,fish
과일,fruit
야채,vegetable
커피,coffee
차,tea
아이스크림,icecream
빵,bread
밥,rice
수영,pool
운동,exercise
게임,game
공,ball
시계,watch
문,door
창문,window
벽,wall
집,home
거리,street
도로,road
기차,train
버스,bus
비행기,plane
자전거,bicycle
택시,taxi
지도,map
여행,travel
도시,city
나라,country
언어,language
음료,drink
우유,milk
주스,juice
소리,sound
색깔,color
검정,black
하양,white
빨강,red
파랑,blue
초록,green
노랑,yellow
주황,orange
보라,purple
핑크,pink
회색,gray
선생님,teacher
학생,student
의자,chair
책상,desk
